Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.26,16.45
Strips,top,2,4.72,6.66
Strips,top,3,4.65,16.7
Strips,top,4,4.84,5.77
Strips,top,5,8.7,59.23
Strips,top,6,4.36,8.62
Strips,top,7,4.79,6.89
Strips,top,8,4.52,7.16
Strips,top,9,4.57,10.94
Strips,top,10,4.24,6.29
Strips,middle,11,4.37,8.96
Strips,middle,12,4.52,12.41
Strips,middle,13,4.64,4.81
Strips,middle,14,5.02,9.75
Strips,middle,15,4.4,9.49
Strips,middle,16,5.01,6.11
Strips,middle,17,9.42,70.46
Strips,middle,18,4.48,20.9
Strips,middle,19,5.21,23.88
Strips,middle,20,4.68,7.2
Strips,bottom,21,4.39,7.59
Strips,bottom,22,4.66,34.6
Strips,bottom,23,4.46,35.7
Strips,bottom,24,8.92,57.69
Strips,bottom,25,5.08,23.09
Strips,bottom,26,4.4,6.34
Strips,bottom,27,4.95,7.98
Strips,bottom,28,4.34,15.45
Strips,bottom,29,4.73,11.02
Strips,bottom,30,4.29,9.64
Control,top,1,5.17,11.98
Control,top,2,4.66,18.53
Control,top,3,4.39,16.96
Control,top,4,4.51,25.58
Control,top,5,4.43,8.5
Control,top,6,4.41,12.09
Control,top,7,4.63,18.88
Control,top,8,4.54,8.85
Control,top,9,4.45,8.55
Control,top,10,4.22,24.8
Control,middle,11,5.33,9.63
Control,middle,12,5.04,9.96
Control,middle,13,4.47,10.55
Control,middle,14,4.82,9.6
Control,middle,15,4.31,7.92
Control,middle,16,4.71,12.16
Control,middle,17,5.02,12.59
Control,middle,18,4.89,12.12
Control,middle,19,4.38,9.39
Control,middle,20,4.58,5.72
Control,bottom,21,4.38,12.31
Control,bottom,22,4.82,11.4
Control,bottom,23,4.78,11.03
Control,bottom,24,10,79.9
Control,bottom,25,4.28,43.39
Control,bottom,26,4.83,46.89
Control,bottom,27,4.3,29.21
Control,bottom,28,5.29,10.89
Control,bottom,29,4.67,7.23
Control,bottom,30,4.35,6.12
