Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.37,5.51
Strips,top,2,4.37,6.39
Strips,top,3,4.36,7.82
Strips,top,4,4.36,15.35
Strips,top,5,4.38,6.6
Strips,top,6,4.36,9.37
Strips,top,7,4.36,7.54
Strips,top,8,4.38,8.37
Strips,top,9,4.36,7.01
Strips,top,10,4.36,9.07
Strips,middle,11,4.46,5.57
Strips,middle,12,4.44,8.26
Strips,middle,13,4.57,9.76
Strips,middle,14,4.47,7.6
Strips,middle,15,4.47,10.73
Strips,middle,16,4.44,9.89
Strips,middle,17,4.45,6.75
Strips,middle,18,4.44,22.81
Strips,middle,19,4.45,11.42
Strips,middle,20,4.46,7.69
Strips,bottom,21,4.48,8.4
Strips,bottom,22,4.58,6.4
Strips,bottom,23,4.45,6.92
Strips,bottom,24,4.48,5.8
Strips,bottom,25,4.48,6.55
Strips,bottom,26,4.48,7.81
Strips,bottom,27,4.49,6.05
Strips,bottom,28,4.5,5.75
Strips,bottom,29,4.51,6.06
Strips,bottom,30,4.52,10.69
Control,top,1,4.44,8.99
Control,top,2,4.42,6.88
Control,top,3,4.42,5.96
Control,top,4,4.42,6.25
Control,top,5,4.41,6.69
Control,top,6,4.42,11.29
Control,top,7,4.42,6.95
Control,top,8,4.42,6.79
Control,top,9,4.41,7.58
Control,top,10,4.43,7.34
Control,middle,11,4.41,17.49
Control,middle,12,4.43,7.97
Control,middle,13,4.44,6.45
Control,middle,14,4.42,6.28
Control,middle,15,4.42,7.4
Control,middle,16,4.44,6.06
Control,middle,17,4.42,6.94
Control,middle,18,4.41,13.69
Control,middle,19,4.42,6.85
Control,middle,20,4.42,5.88
Control,bottom,21,4.42,28.49
Control,bottom,22,4.43,7.42
Control,bottom,23,,
Control,bottom,24,4.42,7.36
Control,bottom,25,4.43,15.81
Control,bottom,26,4.42,5.99
Control,bottom,27,4.41,6
Control,bottom,28,4.42,5.54
Control,bottom,29,4.42,9.11
Control,bottom,30,4.41,7.27
