Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.41,16.48
Strips,top,2,4.43,16.9
Strips,top,3,4.42,25.44
Strips,top,4,4.45,29.29
Strips,top,5,4.44,36.9
Strips,top,6,8.27,147.74
Strips,top,7,4.44,13.77
Strips,top,8,4.43,11.02
Strips,top,9,4.43,18.2
Strips,top,10,4.43,13.19
Strips,middle,11,4.45,14.24
Strips,middle,12,4.48,15.84
Strips,middle,13,4.46,14.88
Strips,middle,14,4.47,8.17
Strips,middle,15,4.48,22.69
Strips,middle,16,4.47,9.48
Strips,middle,17,4.48,11.94
Strips,middle,18,4.47,15.23
Strips,middle,19,4.46,17.65
Strips,middle,20,4.46,23.56
Strips,bottom,21,4.41,15.81
Strips,bottom,22,4.4,10.82
Strips,bottom,23,4.41,18.86
Strips,bottom,24,4.43,9.15
Strips,bottom,25,4.42,18.41
Strips,bottom,26,4.42,39.9
Strips,bottom,27,4.42,13.36
Strips,bottom,28,4.42,21.04
Strips,bottom,29,4.42,9.98
Strips,bottom,30,4.42,24.44
Control,top,1,4.63,17.14
Control,top,2,4.65,14.08
Control,top,3,4.65,12.89
Control,top,4,4.66,13.4
Control,top,5,4.63,23.44
Control,top,6,4.64,15.88
Control,top,7,4.63,27.82
Control,top,8,4.65,44.03
Control,top,9,4.65,11.78
Control,top,10,4.63,17.5
Control,middle,11,4.63,40.88
Control,middle,12,4.64,23.97
Control,middle,13,4.66,13.04
Control,middle,14,4.63,17.37
Control,middle,15,4.65,14.76
Control,middle,16,4.64,41.17
Control,middle,17,4.63,9.29
Control,middle,18,4.65,11.82
Control,middle,19,4.64,17.07
Control,middle,20,4.63,15.48
Control,bottom,21,4.64,15.57
Control,bottom,22,4.63,18.72
Control,bottom,23,4.65,18.97
Control,bottom,24,4.64,19.17
Control,bottom,25,4.66,31.49
Control,bottom,26,4.64,20.09
Control,bottom,27,4.62,11.55
Control,bottom,28,4.64,11.68
Control,bottom,29,4.62,18.35
Control,bottom,30,4.65,29.62
