Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.77,5.55
Strips,top,2,4.45,4.82
Strips,top,3,4.55,8.99
Strips,top,4,4.57,10.12
Strips,top,5,5,8.29
Strips,top,6,5.32,11.62
Strips,top,7,4.67,7.51
Strips,top,8,4.88,13.15
Strips,top,9,4.81,9.72
Strips,top,10,5.14,9.17
Strips,middle,11,5.23,813
Strips,middle,12,5.16,7.93
Strips,middle,13,4.86,10.94
Strips,middle,14,4.45,8.61
Strips,middle,15,4.59,5.8
Strips,middle,16,4.52,5.82
Strips,middle,17,4.29,10.96
Strips,middle,18,5.26,8.46
Strips,middle,19,9,77.55
Strips,middle,20,4.6,7.36
Strips,bottom,21,4.69,5.38
Strips,bottom,22,4.33,9.04
Strips,bottom,23,4.36,6.86
Strips,bottom,24,5.15,7.85
Strips,bottom,25,4.25,7.14
Strips,bottom,26,4.65,5.49
Strips,bottom,27,4.46,6.67
Strips,bottom,28,5.12,10.78
Strips,bottom,29,4.73,7
Strips,bottom,30,4.92,6.95
Control,top,1,4.21,9.93
Control,top,2,4.64,11.9
Control,top,3,4.7,7.81
Control,top,4,4.78,6.81
Control,top,5,4.47,23.78
Control,top,6,4.53,9.67
Control,top,7,4.62,9.12
Control,top,8,4.87,10.45
Control,top,9,4.56,20.39
Control,top,10,4.28,8.34
Control,middle,11,4.39,7.47
Control,middle,12,30.59,297.11
Control,middle,13,4.53,11.15
Control,middle,14,4.71,9.54
Control,middle,15,5.11,10.51
Control,middle,16,4.51,15.05
Control,middle,17,4.97,7.04
Control,middle,18,4.63,7.98
Control,middle,19,13.38,62.91
Control,middle,20,5.35,12.14
Control,bottom,21,4.65,11.23
Control,bottom,22,4.35,5.79
Control,bottom,23,4.73,8.64
Control,bottom,24,8.92,76.42
Control,bottom,25,4.55,16.35
Control,bottom,26,5.13,9.72
Control,bottom,27,5.06,6.34
Control,bottom,28,4.53,7.19
Control,bottom,29,4.39,17.51
Control,bottom,30,4.21,21.97
