Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.26,5.53
Strips,top,2,4.67,5.68
Strips,top,3,4.96,5.49
Strips,top,4,4.78,5.61
Strips,top,5,4.35,4.72
Strips,top,6,4.48,4.87
Strips,top,7,4.8,5.7
Strips,top,8,4.53,5.57
Strips,top,9,4.53,5.06
Strips,top,10,4.29,5.92
Strips,middle,11,4.37,5.41
Strips,middle,12,4.51,5.87
Strips,middle,13,4.6,6.42
Strips,middle,14,5.02,7.27
Strips,middle,15,4.4,5.71
Strips,middle,16,4.94,6.86
Strips,middle,17,4.6,7.39
Strips,middle,18,4.44,6.51
Strips,middle,19,5.19,8.15
Strips,middle,20,4.64,6.74
Strips,bottom,21,4.37,4.83
Strips,bottom,22,4.64,5.55
Strips,bottom,23,4.49,4.94
Strips,bottom,24,4.47,6.31
Strips,bottom,25,5.09,5.32
Strips,bottom,26,4.42,4.88
Strips,bottom,27,4.99,5.31
Strips,bottom,28,4.36,6.64
Strips,bottom,29,4.85,5.93
Strips,bottom,30,4.32,5.21
Control,top,1,5.21,5.4
Control,top,2,4.6,5.02
Control,top,3,4.32,4.62
Control,top,4,4.44,5.83
Control,top,5,4.43,4.77
Control,top,6,4.46,5.34
Control,top,7,4.6,5.9
Control,top,8,4.41,5.21
Control,top,9,4.32,5.42
Control,top,10,4.25,5.58
Control,middle,11,5.36,7.56
Control,middle,12,5,5.69
Control,middle,13,4.45,12.11
Control,middle,14,4.83,11.68
Control,middle,15,4.35,5.59
Control,middle,16,4.71,5.89
Control,middle,17,4.91,5.53
Control,middle,18,4.81,6.49
Control,middle,19,4.36,5.28
Control,middle,20,4.59,4.87
Control,bottom,21,4.37,7.5
Control,bottom,22,4.86,7.44
Control,bottom,23,4.78,9.19
Control,bottom,24,4.82,7.8
Control,bottom,25,4.34,5.66
Control,bottom,26,4.88,9.58
Control,bottom,27,4.29,6.74
Control,bottom,28,5.16,8.63
Control,bottom,29,4.63,5.52
Control,bottom,30,4.34,6.81
