Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.65,5.63
Strips,top,2,4.37,6.83
Strips,top,3,4.51,4.63
Strips,top,4,4.77,5.89
Strips,top,5,4.41,5
Strips,top,6,4.61,5.72
Strips,top,7,4.89,5.93
Strips,top,8,5.13,6.01
Strips,top,9,5.04,6.43
Strips,top,10,4.37,4.95
Strips,middle,11,4.54,6.54
Strips,middle,12,4.41,6.24
Strips,middle,13,4.95,5.73
Strips,middle,14,4.43,6.48
Strips,middle,15,4.51,5.31
Strips,middle,16,4.23,5
Strips,middle,17,4.62,5.27
Strips,middle,18,4.5,6.28
Strips,middle,19,4.66,5.66
Strips,middle,20,4.39,5
Strips,bottom,21,4.36,8.59
Strips,bottom,22,4.62,5.29
Strips,bottom,23,4.38,5.28
Strips,bottom,24,4.64,4.93
Strips,bottom,25,4.65,6.05
Strips,bottom,26,4.88,5.73
Strips,bottom,27,5.04,5.95
Strips,bottom,28,4.2,6.25
Strips,bottom,29,4.54,5.23
Strips,bottom,30,5,6.1
Control,top,1,4.81,5.04
Control,top,2,4.54,5.796
Control,top,3,4.47,7.58
Control,top,4,4.51,14.29
Control,top,5,4.92,5.52
Control,top,6,4.77,7.85
Control,top,7,4.79,38.05
Control,top,8,4.67,5.42
Control,top,9,4.67,5.64
Control,top,10,4.78,6.02
Control,middle,11,4.17,5.82
Control,middle,12,4.55,5.36
Control,middle,13,4.27,5.74
Control,middle,14,5.25,6.62
Control,middle,15,4.6,15.56
Control,middle,16,4.56,15.94
Control,middle,17,4.48,9.2
Control,middle,18,4.89,6.68
Control,middle,19,4.36,9.05
Control,middle,20,4.31,5.23
Control,bottom,21,5.16,6.84
Control,bottom,22,4.42,4.73
Control,bottom,23,4.52,5.24
Control,bottom,24,4.29,5.23
Control,bottom,25,5.13,6.19
Control,bottom,26,4.46,5.15
Control,bottom,27,4.34,5.8
Control,bottom,28,5.04,9.96
Control,bottom,29,4.4,5.27
Control,bottom,30,4.46,4.92
