Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.16,21.21
Strips,top,2,8.29,25.49
Strips,top,3,8.27,51.16
Strips,top,4,8.24,21.87
Strips,top,5,8.47,13.96
Strips,top,6,8.28,80.04
Strips,top,7,8.45,18.52
Strips,top,8,8.43,9.62
Strips,top,9,8.46,10.47
Strips,top,10,8.2,20.08
Strips,middle,11,8.42,12.61
Strips,middle,12,8.49,16.18
Strips,middle,13,8.17,8.94
Strips,middle,14,8.18,9.12
Strips,middle,15,8.41,52.69
Strips,middle,16,8.44,14.77
Strips,middle,17,8.22,34.21
Strips,middle,18,8.42,30.79
Strips,middle,19,8.15,40.77
Strips,middle,20,8.45,18.82
Strips,bottom,21,8.45,14.39
Strips,bottom,22,8.42,14.24
Strips,bottom,23,8.44,10.95
Strips,bottom,24,8.46,9.41
Strips,bottom,25,8.49,17.37
Strips,bottom,26,8.25,10.2
Strips,bottom,27,8.32,9.73
Strips,bottom,28,8.46,13.14
Strips,bottom,29,8.2,15.61
Strips,bottom,30,8.16,9.46
Control,top,1,8.22,85.76
Control,top,2,8.47,26.18
Control,top,3,8.48,50.53
Control,top,4,8.23,62.55
Control,top,5,8.33,37.1
Control,top,6,8.46,19.05
Control,top,7,8.48,59.51
Control,top,8,8.37,154.04
Control,top,9,8.47,168.02
Control,top,10,8.22,231.75
Control,middle,11,8.44,14.03
Control,middle,12,8.26,9.92
Control,middle,13,8.28,137.98
Control,middle,14,8.24,15.46
Control,middle,15,8.22,17.85
Control,middle,16,8.27,39.13
Control,middle,17,8.26,105.66
Control,middle,18,8.27,214.42
Control,middle,19,8.38,30.14
Control,middle,20,8.18,11.09
Control,bottom,21,8.45,9.52
Control,bottom,22,8.44,12.99
Control,bottom,23,8.19,20.31
Control,bottom,24,8.17,12.45
Control,bottom,25,8.48,49.91
Control,bottom,26,8.22,9.77
Control,bottom,27,8.13,29.89
Control,bottom,28,8.49,10.14
Control,bottom,29,8.54,16.23
Control,bottom,30,8.21,98.17
