Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,9.28,64.21
Strips,top,2,4.71,8.06
Strips,top,3,4.28,30.34
Strips,top,4,4.49,14.93
Strips,top,5,5.12,10.04
Strips,top,6,4.68,8.29
Strips,top,7,4.45,6.41
Strips,top,8,4.74,8.48
Strips,top,9,4.41,5.28
Strips,top,10,4.38,6.08
Strips,middle,11,4.64,4.71
Strips,middle,12,5.11,6
Strips,middle,13,,
Strips,middle,14,8.72,79.8
Strips,middle,15,4.19,37.6
Strips,middle,16,4.38,5.22
Strips,middle,17,4.37,17.93
Strips,middle,18,4.64,38.49
Strips,middle,19,4.41,23.45
Strips,middle,20,4.42,18.63
Strips,bottom,21,4.27,48.7
Strips,bottom,22,4.46,5.14
Strips,bottom,23,4.56,8.36
Strips,bottom,24,4.8,15.25
Strips,bottom,25,4.83,5.38
Strips,bottom,26,4.75,37.51
Strips,bottom,27,4.3,5.71
Strips,bottom,28,4.78,10.51
Strips,bottom,29,4.44,23.37
Strips,bottom,30,4.66,8.97
Control,top,1,4.81,32.33
Control,top,2,5.21,27.39
Control,top,3,9.46,75.85
Control,top,4,4.28,27.68
Control,top,5,9.44,55.33
Control,top,6,9.5,55.85
Control,top,7,15.39,101.16
Control,top,8,13.47,136.69
Control,top,9,9.64,59.11
Control,top,10,4.79,6.97
Control,middle,11,9.06,53.18
Control,middle,12,4.89,17
Control,middle,13,4.38,42.61
Control,middle,14,9.18,66.7
Control,middle,15,13.26,123.97
Control,middle,16,4.77,25.73
Control,middle,17,4.57,40.89
Control,middle,18,5.2,20
Control,middle,19,4.63,19.05
Control,middle,20,4.46,34.59
Control,bottom,21,17.8,163.9
Control,bottom,22,,
Control,bottom,23,4.75,26.72
Control,bottom,24,4.28,9.93
Control,bottom,25,32.62,321.96
Control,bottom,26,4.44,6.73
Control,bottom,27,4.8,41.27
Control,bottom,28,8.6,90.36
Control,bottom,29,,
Control,bottom,30,19.16,142.53
