Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.78,8.46
Strips,top,2,4.58,7.34
Strips,top,3,4.3,11.58
Strips,top,4,4.27,9.21
Strips,top,5,5.06,8.68
Strips,top,6,5.06,13.92
Strips,top,7,4.19,8.44
Strips,top,8,4.61,10.52
Strips,top,9,4.92,5.71
Strips,top,10,4.87,6.48
Strips,middle,11,4.43,12.78
Strips,middle,12,5.01,13.66
Strips,middle,13,4.39,11.97
Strips,middle,14,4.35,8.64
Strips,middle,15,4.29,13.77
Strips,middle,16,4.64,9.48
Strips,middle,17,4.38,6.08
Strips,middle,18,4.78,6.27
Strips,middle,19,4.47,11.47
Strips,middle,20,4.41,12.8
Strips,bottom,21,5.13,8.73
Strips,bottom,22,4.51,5.56
Strips,bottom,23,4.36,7.41
Strips,bottom,24,4.74,9.49
Strips,bottom,25,4.23,9.44
Strips,bottom,26,4.24,8.75
Strips,bottom,27,4.41,8.71
Strips,bottom,28,4.72,9.94
Strips,bottom,29,4.54,8.41
Strips,bottom,30,4.4,10.97
Control,top,1,4.61,8.66
Control,top,2,4.64,7.23
Control,top,3,5.03,14.22
Control,top,4,4.65,11.16
Control,top,5,4.65,9.84
Control,top,6,4.64,13.35
Control,top,7,4.35,14.83
Control,top,8,5.02,9.64
Control,top,9,4.99,6.49
Control,top,10,4.64,15.45
Control,middle,11,4.41,7.15
Control,middle,12,4.63,12.12
Control,middle,13,4.48,14.5
Control,middle,14,4.28,14.72
Control,middle,15,5.18,9.54
Control,middle,16,4.71,9.03
Control,middle,17,4.24,8.6
Control,middle,18,4.44,9.25
Control,middle,19,4.5,40.17
Control,middle,20,4.5,8.16
Control,bottom,21,5.08,9.96
Control,bottom,22,4.54,11.44
Control,bottom,23,4.58,12.64
Control,bottom,24,4.5,11.07
Control,bottom,25,4.22,10.63
Control,bottom,26,4.38,11.66
Control,bottom,27,4.34,28.66
Control,bottom,28,4.22,11.23
Control,bottom,29,4.4,14.41
Control,bottom,30,4.36,9.88
